,r,lr,lora_alpha,model_size,score,epoch,multi,gen,mmlu,Abstract (target),Introduction (target),Introduction-multi (target),Conclusion (target),Abstract (irrelevant 1),Introduction (irrelevant 1),Introduction-multi (irrelevant 1),Conclusion (irrelevant 1),Introduction (irrelevant 2),Total texts,Total instructions,MMLU,LoRA layers
0,100,0.0003079791789368081,300,7,0.12962998475348345,1,0.6033057851239669,0.12962998475348345,0.2,1,250,750,1,1,1,1,1,1,1009,1,1,4
2,100,0.0003079791789368081,300,7,0.1405179128798043,3,0.5206611570247934,0.1405179128798043,0.2,1,250,750,1,1,1,1,1,1,1009,1,1,4
433,51,6.625440506563047e-05,347,7,0.12369812036790008,3,0.7603305785123967,0.12369812036790008,0.16,16,218,716,95,59,134,2703,46,1,4053,46,19,4
1258,56,7.74092749291017e-05,455,7,0.13321352035842157,7,0.9090909090909091,0.13321352035842157,0.2,18,248,406,70,7,372,3621,50,16,5472,660,4,4
438,39,8.246599955238309e-05,439,7,0.14940268713560853,3,0.8512396694214877,0.14940268713560853,0.26,13,245,656,147,45,82,3461,63,4,4908,182,10,4
399,36,8.501282253130543e-05,242,7,0.13330855480454493,3,0.8842975206611571,0.13330855480454493,0.32,20,144,444,125,100,25,5283,97,4,6444,189,13,4
37,482,7.074915539107757e-05,587,7,0.0437763188416225,3,0.6363636363636364,0.0437763188416225,0.28,3,2,1,28,9,38480,5609,1674,1,48411,1,2603,4
1019,160,7.763387325885312e-05,470,7,0.13558420034036997,7,0.9669421487603306,0.13558420034036997,0.26,23,248,430,34,5,339,3752,23,13,5494,623,4,4
285,39,5.1454834169231464e-05,446,7,0.1422492437314129,3,0.8099173553719008,0.1422492437314129,0.26,18,250,731,65,41,86,785,41,2,2092,65,8,4
293,35,7.40401080627544e-05,452,7,0.0,3,0.2231404958677686,0.0,0.24,23,105,582,63,27,89,795,29,1,1788,70,4,8
282,53,4.688503474374566e-05,512,7,0.14086090423565356,3,0.7933884297520661,0.14086090423565356,0.26,18,215,607,63,42,95,965,16,2,2114,82,9,4
221,65,2.6374198832228495e-05,583,7,0.13036190008750295,3,0.8016528925619835,0.13036190008750295,0.26,21,202,698,139,53,116,2487,30,6,3811,54,5,4
176,61,3.638401032794445e-05,1010,7,0.08179672350501174,7,0.5041322314049587,0.08179672350501174,0.18,8,192,591,500,3,7163,1,1,74,8563,3,27,4
1153,48,7.294924154582415e-05,338,7,0.13964078262390778,7,0.8842975206611571,0.13964078262390778,0.26,15,169,654,91,16,130,1020,55,21,2421,235,15,4
241,82,3.600905925405366e-05,501,7,0.13118838071385297,3,0.8181818181818182,0.13118838071385297,0.34,31,99,337,41,38,180,2470,24,31,3346,93,2,4
1119,51,6.281062003838297e-05,451,7,0.12714350211586264,7,0.859504132231405,0.12714350211586264,0.24,18,113,402,223,19,196,647,15,53,1841,141,14,4
278,77,9.636632808035241e-05,678,7,0.1308957583206941,3,0.6859504132231405,0.1308957583206941,0.36,30,147,329,103,47,49,2148,30,2,2941,30,26,4
27,44,0.0001155052405394058,100,7,0.11224050981394278,3,0.7272727272727273,0.11224050981394278,0.32,1,11,105,3,695,347,103,4,12046,13327,11,1,4
274,58,4.5567036003371575e-05,692,7,0.1390939815481625,3,0.7603305785123967,0.1390939815481625,0.16,26,250,546,109,38,165,891,30,2,2096,29,10,4
165,106,8.12803469609863e-06,863,7,0.08895075863065337,3,0.6446280991735537,0.08895075863065337,0.26,12,193,522,338,37,1631,172,10,27,2958,1,15,4
405,43,6.205090261800283e-05,318,7,0.12972816209092494,3,0.9421487603305785,0.12972816209092494,0.34,12,161,545,191,33,203,2081,71,11,3546,228,10,4
31,116,7.071974446063901e-05,121,7,0.000974174974127802,3,0.24793388429752067,0.000974174974127802,0.24,46,118,228,167,18,12347,3504,1403,30092,48464,537,4,8
135,63,9.98316998752904e-05,368,7,0.12052745512336722,3,0.71900826446281,0.12052745512336722,0.3,15,36,224,31,6,75,30,14,4,448,9,4,4
130,91,4.506504760742117e-06,403,7,0.10872407805606407,3,0.7272727272727273,0.10872407805606407,0.3,3,84,742,15,1,26,17,1,1,897,6,1,4
298,50,9.867383946687565e-05,392,7,0.1325838983052313,3,0.859504132231405,0.1325838983052313,0.24,17,249,461,70,41,36,1290,102,1,2506,230,9,4
378,57,9.982479417884988e-05,378,7,0.12045343315289371,4,0.8925619834710744,0.12045343315289371,0.26,15,113,526,219,30,56,4769,81,231,6166,109,17,4
862,51,6.50865918329717e-05,440,7,0.12555066015773877,4,0.8677685950413223,0.12555066015773877,0.12,19,98,203,215,24,144,591,15,26,1491,144,12,4
180,49,1.0234353228435351e-05,487,7,0.12915509900160382,4,0.768595041322314,0.12915509900160382,0.3,7,64,354,80,9,693,259,2,15,1497,9,5,4
992,52,6.114681452933229e-05,747,7,0.1132403079617589,7,0.8925619834710744,0.1132403079617589,0.26,39,1,185,60,11,409,160,28,11,1494,528,62,4
289,40,4.8717204210639726e-05,303,7,0.1337087607092353,3,0.8677685950413223,0.1337087607092353,0.32,18,242,406,83,67,22,1621,17,2,2669,184,7,4
149,62,3.3701609851468846e-05,805,7,0.12984099041829497,3,0.743801652892562,0.12984099041829497,0.28,26,181,519,130,12,649,183,3,15,1747,18,11,4
1037,36,9.716568231000396e-05,551,7,0.10704796458373433,7,0.9504132231404959,0.10704796458373433,0.26,16,203,518,86,23,278,1843,39,19,3571,541,5,4
235,96,6.413310151653539e-05,629,7,0.1030671061327189,3,0.4380165289256198,0.1030671061327189,0.28,45,149,435,177,379,347,6437,172,17,8192,19,15,4
1234,52,5.805118170043198e-05,631,7,0.1382254647084279,7,0.9256198347107438,0.1382254647084279,0.32,38,200,181,62,11,408,340,28,11,1797,515,3,4
1205,66,9.994421736860081e-05,845,7,0.11099739387241991,7,0.9338842975206612,0.11099739387241991,0.32,32,221,244,50,6,551,2217,22,5,4562,1211,3,4
954,64,6.202151833431082e-06,724,7,0.11369249052004077,7,0.9421487603305785,0.11369249052004077,0.22,34,227,388,47,11,603,295,25,6,2681,1042,3,4
120,32,1.0808243571215033e-07,643,7,0.11606676568538349,3,0.7768595041322314,0.11606676568538349,0.34,2,54,161,2,15,1,2,8,2,251,2,2,8
384,53,7.38751240809784e-05,273,7,0.12619894046359267,3,0.768595041322314,0.12619894046359267,0.44,11,188,750,144,76,177,9165,60,8,10658,46,33,4
916,34,6.88410363997523e-05,315,7,0.13015517878237784,7,0.9173553719008265,0.13015517878237784,0.32,13,201,463,131,23,446,1650,77,9,3384,367,4,4
183,68,3.0989714394906104e-05,782,7,0.13581069191783823,3,0.8347107438016529,0.13581069191783823,0.18,6,174,316,40,17,220,664,3,6,1468,19,3,4
302,49,9.926452562022466e-05,395,7,0.13570065443357043,3,0.9173553719008265,0.13570065443357043,0.38,15,212,446,71,38,93,1270,46,1,2415,215,8,4
23,218,0.00016415076202959075,138,7,0.11621301975392305,3,0.9586776859504132,0.11621301975392305,0.26,1,2,434,81,68,1,67,51,1827,5285,2748,5,4
269,59,3.096112393373027e-05,669,7,0.1396493331336196,3,0.7107438016528925,0.1396493331336196,0.22,25,214,722,184,46,151,858,36,5,2286,36,9,4
1057,33,6.140274159616742e-05,493,7,0.12865679933826757,7,0.9256198347107438,0.12865679933826757,0.18,21,121,550,54,14,583,1419,50,16,4180,1342,10,4
1220,59,1.4336478180890398e-05,875,7,0.11589260934419655,3,0.9090909090909091,0.11589260934419655,0.24,28,208,269,76,8,692,180,19,7,2347,858,2,8
226,79,6.009202156948913e-05,615,7,0.1311181968502689,3,0.743801652892562,0.1311181968502689,0.4,50,146,451,168,92,178,826,62,5,2006,22,6,4
19,192,0.00012504164029894833,40,7,0.06950302738978266,3,0.6776859504132231,0.06950302738978266,0.38,12,16,16,517,6631,411,7,117,4,10816,12,3073,8
158,104,9.78648028368365e-06,838,7,0.11074579620897723,3,0.7272727272727273,0.11074579620897723,0.32,63,187,475,113,13,827,364,3,13,2077,7,12,4
264,86,1.962569274461404e-05,543,7,0.12335370881726017,3,0.8016528925619835,0.12335370881726017,0.18,37,221,603,166,66,120,1077,51,5,2396,45,5,4
141,54,3.674227742063916e-07,328,7,0.10513129227387964,3,0.8264462809917356,0.10513129227387964,0.36,35,109,508,213,24,7,110,75,1,2250,406,762,8
416,76,1.275676526834512e-07,184,7,0.09994342378096611,3,0.7024793388429752,0.09994342378096611,0.24,4,56,157,2,23,1,2,8,129145,129403,2,3,8
258,49,7.717799002337292e-05,417,7,0.11793479428626479,3,0.8429752066115702,0.11793479428626479,0.26,6,173,438,157,28,237,6761,57,21,7959,80,1,4
254,59,4.6139557660179766e-05,948,7,0.12424805876051123,3,0.8347107438016529,0.12424805876051123,0.32,10,71,255,105,91,499,343,303,10,1738,43,8,4
1214,71,6.808945637686546e-05,808,7,0.13983507063075865,7,0.9008264462809917,0.13983507063075865,0.26,30,249,222,37,6,954,241,26,5,2212,436,6,4
107,32,1.2134333132351766e-07,180,7,0.11552413358829512,7,0.768595041322314,0.11552413358829512,0.32,4,248,737,2,22,1,2,2,2,1024,2,2,8
925,65,8.784132826724158e-05,663,7,0.13173093509302125,7,0.9504132231404959,0.13173093509302125,0.36,22,221,321,65,7,258,450,30,14,1928,536,4,4
15,63,0.00024496293261608174,43,7,0.10309393555477461,3,0.7024793388429752,0.10309393555477461,0.24,3,2,226,10,10,171,1411,7,1,1843,1,1,4
231,78,6.117562521848896e-05,721,7,0.13085501765320584,3,0.743801652892562,0.13085501765320584,0.28,50,150,494,93,89,236,894,63,8,2104,21,6,4
155,102,1.2791141705389791e-05,768,7,0.13131772551315887,3,0.7520661157024794,0.13131772551315887,0.34,11,181,592,129,12,806,261,3,15,2020,7,3,4
249,127,1.7968722389137937e-05,810,7,0.1250756280802605,3,0.768595041322314,0.1250756280802605,0.26,13,128,610,300,18,108,464,51,77,1806,34,3,4
11,66,0.00013703775172965656,335,7,0.11332798528985967,3,0.9256198347107438,0.11332798528985967,0.38,1,192,23,79,14,3177,4447,2,46,8499,510,8,4
6,65,9.088370143553302e-05,680,7,0.054966521690300696,3,0.6033057851239669,0.054966521690300696,0.14,45,35,1,1,7,2,937,4,23647,25045,17,349,4
1143,41,8.472449108098993e-05,365,7,0.1199874635357589,7,0.8925619834710744,0.1199874635357589,0.22,9,131,171,165,11,333,1338,32,33,2696,464,9,4
1136,37,4.369984239574605e-05,385,7,0.1376083556919117,7,0.8429752066115702,0.1376083556919117,0.18,11,194,645,121,46,101,5319,98,14,6742,175,18,4
394,46,3.910390738442447e-05,420,7,0.1259232952174776,4,0.8429752066115702,0.1259232952174776,0.38,13,215,641,114,52,84,3584,140,3,4917,60,11,4
173,61,3.638401032794445e-05,1010,7,0.07149573623133074,4,0.6446280991735537,0.07149573623133074,0.28,8,192,591,500,3,7163,1,1,74,8563,3,27,4
1006,65,8.701828607706614e-05,195,7,0.13517083380384323,4,0.9421487603305785,0.13517083380384323,0.22,19,174,428,70,7,344,270,48,6,2039,669,4,4
1044,38,7.577915077460234e-05,535,7,0.12177349280353082,4,0.9504132231404959,0.12177349280353082,0.1,8,208,435,101,20,431,4093,84,23,6270,861,6,4
1009,65,8.701828607706614e-05,195,7,0.14936086221058156,7,0.9256198347107438,0.14936086221058156,0.28,19,174,428,70,7,344,270,48,6,2039,669,4,4
227,79,6.009202156948913e-05,615,7,0.14069376170009318,4,0.7272727272727273,0.14069376170009318,0.34,50,146,451,168,92,178,826,62,5,2006,22,6,4
259,49,7.717799002337292e-05,417,7,0.12620337003086093,4,0.8677685950413223,0.12620337003086093,0.24,6,173,438,157,28,237,6761,57,21,7959,80,1,4
1016,160,7.763387325885312e-05,470,7,0.1290128975651836,4,0.9421487603305785,0.1290128975651836,0.34,23,248,430,34,5,339,3752,23,13,5494,623,4,4
250,127,1.7968722389137937e-05,810,7,0.12889406943879522,4,0.6694214876033058,0.12889406943879522,0.22,13,128,610,300,18,108,464,51,77,1806,34,3,4
232,78,6.117562521848896e-05,721,7,0.12630531207024612,4,0.7355371900826446,0.12630531207024612,0.34,50,150,494,93,89,236,894,63,8,2104,21,6,4
1185,60,8.765969169041082e-05,690,7,0.13380213040100583,7,0.9421487603305785,0.13380213040100583,0.22,26,225,312,64,8,156,343,20,7,1697,532,4,4
964,67,6.856771710026436e-05,790,7,0.14768252698809142,7,0.9504132231404959,0.14768252698809142,0.2,33,232,69,51,5,501,271,24,5,1640,446,3,4
1025,40,8.786813714406293e-05,449,7,0.12893649885319983,4,0.9256198347107438,0.12893649885319983,0.24,10,178,377,260,10,405,2491,55,13,4357,554,4,4
245,82,3.600905925405366e-05,501,7,0.12872876292188679,7,0.7107438016528925,0.12872876292188679,0.28,31,99,337,41,38,180,2470,24,31,3346,93,2,4
242,82,3.600905925405366e-05,501,7,0.12713649351299652,4,0.8429752066115702,0.12713649351299652,0.28,31,99,337,41,38,180,2470,24,31,3346,93,2,4
265,86,1.962569274461404e-05,543,7,0.1339984359165224,4,0.7933884297520661,0.1339984359165224,0.2,37,221,603,166,66,120,1077,51,5,2396,45,5,4
303,49,9.926452562022466e-05,395,7,0.13821626529555084,4,0.9090909090909091,0.13821626529555084,0.32,15,212,446,71,38,93,1270,46,1,2415,215,8,4
307,54,6.166230593002324e-05,434,7,0.1344393344322857,4,0.8347107438016529,0.1344393344322857,0.26,15,166,498,100,33,29,1804,106,2,2899,126,20,4
388,53,7.38751240809784e-05,273,7,0.12038415610563398,7,0.7355371900826446,0.12038415610563398,0.16,11,188,750,144,76,177,9165,60,8,10658,46,33,4
1080,37,7.880821717619036e-05,622,7,0.13256567174446007,4,0.8181818181818182,0.13256567174446007,0.32,16,159,616,337,8,173,791,19,30,2413,259,5,4
124,32,1.0808243571215033e-07,643,7,0.1097949559783352,7,0.7851239669421488,0.1097949559783352,0.34,2,54,161,2,15,1,2,8,2,251,2,2,8
190,63,2.4846160972809164e-05,558,7,0.13135165829064246,4,0.743801652892562,0.13135165829064246,0.28,25,218,735,166,63,155,1169,39,5,2623,43,5,4
365,46,9.342648673258675e-05,336,7,0.13403616577741007,4,0.9090909090909091,0.13403616577741007,0.16,13,193,651,111,71,69,5373,77,1,6726,153,14,4
922,65,8.784132826724158e-05,663,7,0.139936656325309,4,0.9421487603305785,0.139936656325309,0.4,22,221,321,65,7,258,450,30,14,1928,536,4,4
359,44,9.502610824904092e-05,340,7,0.14107630488185074,4,0.9090909090909091,0.14107630488185074,0.26,13,250,667,112,72,73,4590,72,1,6029,161,18,4
1109,39,5.3473347783857974e-05,414,7,0.13042572859275745,7,0.859504132231405,0.13042572859275745,0.32,14,132,30,139,25,196,1827,40,64,2680,196,17,4
354,38,7.161699637716097e-05,356,7,0.14495241470529435,4,0.9008264462809917,0.14495241470529435,0.2,13,245,745,112,55,67,4761,67,1,6192,107,19,4
